[MSI]
Submission Title	DEDJTR-FAANG-Chamberlain-Cattle-160421
Submission Identifier	GSB-537
Submission Description	Tissue samples from 2 lactating holstein cows and their foetus'
Submission Version	1.2
Submission Reference Layer	false
Submission Release Date	2016/08/18
Submission Update Date	2016/08/18
Organization Name	DEDJTR	
Organization Address	Agribiosciences Building, 5 Ring Rd Bundoora 3083, Victoria, Australia	
Organization URI	http://economicdevelopment.vic.gov.au/	
Organization Email		
Organization Role	institution	
Person Last Name	Chamberlain	
Person Initials	J	
Person First Name	Amanda	
Person Email	amanda.chamberlain@ecodev.vic.gov.au	
Person Role	submitter	
Term Source Name	OBI	NCBI Taxonomy	EFO	LBO	PATO	ATOL	UBERON	CL	
Term Source URI	https://www.ebi.ac.uk/ols/ontologies/obi	http://www.ncbi.nlm.nih.gov/taxonomy/	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/ols/ontologies/lbo	https://www.ebi.ac.uk/ols/ontologies/pate	http://opendata.inra.fr/ATOL/	https://www.ebi.ac.uk/ols/ontologies/uberon	http://purl.obolibrary.org/obo/	
Term Source Version									

[SCD]
Sample Name	Sample Accession	Sample Description	Characteristic[project]	Material	Term Source REF	Term Source ID	Characteristic[availability]	Derived From	Characteristic[organism part]	Term Source REF	Term Source ID	Characteristic[specimen collection protocol]	Characteristic[specimen collection date]	Unit	Characteristic[animal age at collection]	Unit	Characteristic[developmental stage]	Term Source REF	Term Source ID	Characteristic[health status at collection]	Term Source REF	Term Source ID	Characteristic[fasted status]	Characteristic[number of pieces]	Unit	Characteristic[specimen volume]	Unit	Characteristic[specimen size]	Unit	Characteristic[specimen weight]	Characteristic[specimen picture url]	Characteristic[gestational age at sample collection]	Unit	Characteristic[markers]	Characteristic[purification protocol]	Characteristic[cell type]	Term Source REF	Term Source ID	Characteristic[cell type]	Term Source REF	Term Source ID	Organism	Term Source REF	Term Source ID	Child Of	Sex	Term Source REF	Term Source ID	Characteristic[breed]	Term Source REF	Term Source ID	Characteristic[health status]	Term Source REF	Term Source ID	Characteristic[birth date]	Unit	Characteristic[birth location]	Characteristic[birth location latitude]	Characteristic[birth location longitude]	Characteristic[birth weight]	Characteristic[placental weight]	Characteristic[pregnancy length]	Unit	Characteristic[pedigree]	Characteristic[lactation duration]	Unit	Term Source REF	Term Source ID	Characteristic[parturition trait]	Term Source REF	Term Source ID	Group Name	Group Accession	
BTA-DEDJTR-2181-LNInt	SAMEA4447808	lymph node, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	lymph node	UBERON	UBERON_0000029	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-LNMed	SAMEA4447771	mediastinal lymph node, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	mediastinal lymph node	UBERON	UBERON_0002524	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Lobe	SAMEA4447756	brain caudal lobe, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	brain	UBERON	UBERON_0000955	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Loin	SAMEA4447813	longissimus thoracis muscle, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	longissimus thoracis muscle	UBERON	UBERON_0001401	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Lung	SAMEA4447766	lung, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	lung	UBERON	UBERON_0002048	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-MG	SAMEA4447830	mammary gland, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	mammary gland	UBERON	UBERON_0001911	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Milk	SAMEA4447784	milk, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	milk	UBERON	UBERON_0001913	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/assays/DEDJTR_SOP_SamplingMilkForRNA_20160301.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	100	milliliters	not provided		not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-MilkCells	SAMEA4447811	milk cells, BTA-DEDJTR-2181	FAANG	cell specimen	OBI	OBI_0001468	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447784																										not provided	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/assays/DEDJTR_SOP_SamplingMilkForRNA_20160301.pdf	leukocyte	CL	CL_0000738	mammary gland epithelial cell	CL	CL_0002327																															Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Msub	SAMEA4447817	latissimus dorsi muscle, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	latissimus dorsi muscle	UBERON	UBERON_0001112	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Omental	SAMEA4447786	omental fat pad, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	omental fat pad	UBERON	UBERON_0010414	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Ovary	SAMEA4447776	ovary, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	female gonad	UBERON	UBERON_0000992	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Pancreas	SAMEA4447757	pancreas, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	pancreas	UBERON	UBERON_0001264	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Pituitary	SAMEA4447821	pituitary gland, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	pituitary gland	UBERON	UBERON_0000007	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Placenta	SAMEA4447764	placenta, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	placenta	UBERON	UBERON_0001987	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Rib	SAMEA4447772	intercostal muscle, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	intercostal muscle	UBERON	UBERON_0001111	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Sblack	SAMEA4447790	black integument, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	skin of body	UBERON	UBERON_0002097	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Spleen	SAMEA4447802	spleen, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	spleen	UBERON	UBERON_0002106	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Stem	SAMEA4447829	brainstem, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	brainstem	UBERON	UBERON_0002298	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Swhite	SAMEA4447807	white integument, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	skin of body	UBERON	UBERON_0002097	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Thymus	SAMEA4447836	thymus, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	thymus	UBERON	UBERON_0002370	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Thyroid	SAMEA4447760	thyroid gland, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	thyroid gland	UBERON	UBERON_0002046	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Tongue	SAMEA4447793	tongue, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	tongue	UBERON	UBERON_0001723	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-WBC	SAMEA4447773	white blood cells, BTA-DEDJTR-2181	FAANG	cell specimen	OBI	OBI_0001468	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447781																										CD45+	https://tools.thermofisher.com/content/sfs/manuals/1928MD.pdf	leukocyte	CL	CL_0000738																																		Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181F-FoeBrain	SAMEA4447803	foetal brain, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	brain	UBERON	UBERON_0000955	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181F-FoeHeart	SAMEA4447774	foetal heart, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	heart	UBERON	UBERON_0000948	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181F-FoeKidney	SAMEA4447759	foetal kidney, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	kidney	UBERON	UBERON_0002113	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181F-FoeLeg	SAMEA4447826	foetal semimembranosus muscle, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	semimembranosus muscle	UBERON	UBERON_0001381	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181F-FoeLiver	SAMEA4447792	foetal liver, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	liver	UBERON	UBERON_0002107	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
