"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[spectrum type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Rmsd]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Analysis date]"	"Factor Value[Season of sample collection]"
"subject_2129"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000601.CDF"	"120621_Pivus_000601.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"119.6224521"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2129"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000602.CDF"	"120621_Pivus_000602.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"119.6224521"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1860"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000701.CDF"	"120621_Pivus_000701.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"117.62366"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1860"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000702.CDF"	"120621_Pivus_000702.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"117.62366"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2162"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000801.CDF"	"120621_Pivus_000801.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"116.0868351"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2162"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000802.CDF"	"120621_Pivus_000802.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"116.0868351"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1874"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000901.CDF"	"120621_Pivus_000901.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"122.8925546"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1874"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000902.CDF"	"120621_Pivus_000902.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"122.8925546"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2175"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001001.CDF"	"120621_Pivus_001001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"127.420726"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2175"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001002.CDF"	"120621_Pivus_001002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"127.420726"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1861"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001101.CDF"	"120621_Pivus_001101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"115.2041459"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1861"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001102.CDF"	"120621_Pivus_001102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"115.2041459"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2132"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001201.CDF"	"120621_Pivus_001201.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"95.86635345"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2132"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001202.CDF"	"120621_Pivus_001202.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"95.86635345"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1837"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001301.CDF"	"120621_Pivus_001301.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"103.170208"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1837"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001302.CDF"	"120621_Pivus_001302.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"103.170208"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2151"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001401.CDF"	"120621_Pivus_001401.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"131.7138485"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_2151"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001402.CDF"	"120621_Pivus_001402.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"131.7138485"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1908"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001501.CDF"	"120621_Pivus_001501.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"99.85333597"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1908"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001502.CDF"	"120621_Pivus_001502.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"99.85333597"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1871"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001601.CDF"	"120621_Pivus_001601.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"106.2249295"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1871"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_001602.CDF"	"120621_Pivus_001602.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"106.2249295"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
